,g_t,g,g_err,r_t,r,r_err,i_t,i,i_err,z_t,z,z_err,sn,sn_type,redshift
23,-0.3932303587028433,-0.04625744678025956,-0.7714941103893935,-0.39320651251023,-0.42024782816211614,-0.9487274859816957,-0.3931826663176168,-0.49330730123878985,-0.9615535652088869,-0.39314689702865335,-0.5221334793492242,-0.9537183063990095,18617969,4,0.7377716516297987
24,-0.31016214675135423,0.17216682946036643,-0.7485349483499555,-0.31012637746247773,-0.33007733475071477,-0.9540350791186055,-0.3101025312698644,-0.4747863214189605,-0.9630817358713579,-0.3100786850772511,-0.49413107472045237,-0.9468537256258539,18617969,4,0.7377716516297987
25,-0.24986704874095023,0.3139087468509629,-0.5936907049556883,-0.2498432025483368,-0.23776668995112904,-0.9207458283412913,-0.2498193563557236,-0.4127612837551319,-0.94000340241261,-0.249783587066847,-0.44523600360250004,-0.932283834531095,18617969,4,0.7377716516297987
26,-0.16670345201909487,0.44385094518462687,0.049502949672365126,-0.16666768273021826,-0.11960450985052573,-0.8290009966135748,-0.16664383653760484,-0.2953963406581642,-0.8893046664072174,-0.16660806724864174,-0.37196610049656675,-0.9021231094293996,18617969,4,0.7377716516297987
27,0.01093875981731851,0.48296012212333994,-0.30818069252431046,-0.048474029066567725,0.0018720743218219038,-0.7591454526505363,-0.048450182873954306,-0.16544025040250332,-0.6895550729249,-0.04841441358499088,-0.25557512943647887,-0.8246944735060935,18617969,4,0.7377716516297987
28,0.023493780225651406,0.48965240811339505,-0.24668751151388535,0.01096260600993193,0.08683606607537198,-0.6124388395303522,0.01098645220254535,-0.13167075492814384,-0.792815748493239,0.011022221491508555,-0.17173392524130238,-0.7698459510714589,18617969,4,0.7377716516297987
29,-0.5895365357289268,-0.06575966613985507,-0.8485981156241941,-0.6149064152566528,-0.013813614290964393,-0.5081739675889704,-0.5380756024331337,-0.1817941867438564,-0.829497438417314,-0.5781909195543358,-0.0766687432029256,-0.8547242675584364,1355147,4,-0.18814621595072722
30,-0.5382945303275329,-0.08571526878360836,-0.8884554801031149,-0.5391702419051302,-0.1534830855136914,-0.8287198979407422,-0.5267686205929034,-0.20242351411576653,-0.8587560513571308,-0.5263050085812288,-0.1895451502046116,-0.9154288778356929,1355147,4,-0.18814621595072722
31,-0.487606283717833,-0.08215136781473897,-0.867170962217779,-0.48741311204630955,-0.22786910473441802,-0.878270461546084,-0.4755394933029007,-0.29472434570909267,-0.8968105051039634,-0.47432895082800886,-0.2892549520937746,-0.9234164394945903,1355147,4,-0.18814621595072722
32,-0.4105179086656472,-0.030228226698475247,-0.8445472000838419,-0.410311858882639,-0.2714925674645806,-0.9037942216296314,-0.4099512717624685,-0.3795946534974569,-0.8881230246092027,-0.3980776530190595,-0.37083707305072977,-0.8801832185939538,1355147,4,-0.18814621595072722
33,-0.38358977765424995,0.0033067491915048652,-0.830925251564274,-0.38347387465135463,-0.270439542773966,-0.9093395353588258,-0.3983738495820869,-0.3853736771997017,-0.8822107650547252,-0.269863175568375,-0.279352132647525,-0.9231692256099431,1355147,4,-0.18814621595072722
34,-0.2812603041887183,0.16548309638295744,-0.7104065619516026,-0.28118303552009016,-0.19297648235599718,-0.8815028985715231,-0.2804361050567793,-0.3166806043355148,-0.9071801505271192,-0.1907915713551107,-0.203081040163144,-0.9017841941542033,1355147,4,-0.18814621595072722
35,-0.1924657258416772,0.2943652413306397,-0.6415558177904062,-0.1922210417244018,-0.054232081894915685,-0.8145779984252575,-0.19214377305577368,-0.22913727567043063,-0.8990491211612615,-0.0906771330563545,-0.16481302693544098,-0.8666092939775171,1355147,4,-0.18814621595072722
36,-0.11545461945811941,0.3714180894146941,-0.568352131058371,-0.1137933430829442,0.05547799283284305,-0.6470694880474208,-0.11360017141142087,-0.17689087982630036,-0.8348361003190685,-0.024264712384077125,-0.1391707166368713,-0.8683239182088778,1355147,4,-0.18814621595072722
37,0.14327951739023126,0.42367019529826533,-0.4919861792279744,0.08942325536753049,0.1934216041623984,-0.5109244179749001,0.07685421860656283,-0.08929770739079135,-0.7387135324591765,0.07909500999630792,-0.11574693759972388,-0.8519536905895149,1355147,4,-0.18814621595072722
38,0.15490845201645875,0.42155918158095584,-0.4993092801793918,0.1442067414135808,0.21115006693264227,-0.5521893529212749,0.10335737194055272,-0.06992948798918464,-0.7548629758754823,0.14365298262188686,-0.09175490977101908,-0.8319632777202979,1355147,4,-0.18814621595072722
39,0.2459180655302753,0.40107523242155896,-0.5292371784434062,0.24420527670934788,0.24396460090142202,-0.5752880254651559,0.15507586746510604,-0.028842570478654905,-0.7259023069452202,0.24434693593521306,-0.005277329361707106,-0.7893590334125951,1355147,4,-0.18814621595072722
40,0.334403569202804,0.38531456254677,-0.5352739966302533,0.3346482533200794,0.27050439509035007,-0.5615901944478965,0.24621426209330277,0.024439432941828487,-0.6840852533117538,0.33529215889188646,0.08088412011901225,-0.7901055130231271,1355147,4,-0.18814621595072722
41,0.43670728644555346,0.3965679570439036,-0.5476906138338438,0.4368231894484489,0.31275134736491217,-0.48297695103242955,0.33477703443445983,0.054796161667667986,-0.7334285099989591,0.4255162076082186,0.12653427323488464,-0.7684132236154376,1355147,4,-0.18814621595072722
42,0.5034159036808583,0.42209518701859783,-0.5476953225881595,0.5547609339737565,0.37158025327309985,-0.48116297618699855,0.42501396126218305,0.10000692183443594,-0.68430864919536,0.5017159929714159,0.16883668672002772,-0.758220386691471,1355147,4,-0.18814621595072722
43,0.5143236640666509,0.427530129621295,-0.5398876611855373,0.6068657728412625,0.4013105613156174,-0.4695986153000731,0.5014069182969034,0.12210364352694203,-0.6667227456970202,0.5657459630280832,0.2117751785999069,-0.746645295290916,1355147,4,-0.18814621595072722
44,0.5288115394314603,0.4353057425031277,-0.5231927469896778,0.6937672688073382,0.46243743785552516,-0.35520838980399094,0.5550184962024227,0.11828583543940097,-0.6680141332701053,0.6179151924528261,0.25226530570119143,-0.6962151221335077,1355147,4,-0.18814621595072722
45,0.5801823259471406,0.46719567060646394,-0.3972629235415499,0.8238877067504728,0.5766379910310442,-0.006492889838825344,0.6172841649925045,0.09461746770086044,-0.6756999238866892,0.7079718257205114,0.32063360212666137,-0.5574388156097694,1355147,4,-0.18814621595072722
46,0.6424995071829744,0.509450334822487,-0.1157427797870717,0.9133390687806182,0.6606529603589733,0.40675966561548127,0.707843044606131,0.059932547838633665,-0.5673431021857631,0.8249694681109847,0.41342460184827323,-0.18015037748603968,1355147,4,-0.18814621595072722
47,-0.8996348247030247,0.7282050253852579,0.8670281927916998,-0.5320296807532667,-0.09007123910433357,-0.8754518998847733,-0.5320060822847048,-0.042516847679658354,-0.833437672275559,-0.5319706845819047,-0.019712434417520797,-0.7607066031542902,19249809,4,0.8688402770507391
48,-0.5929609265679202,0.18414091550088374,-0.5578036412979339,-0.4852693153071366,-0.11785905258008711,-0.9451505383554955,-0.48524571683857454,-0.11538056054459978,-0.9288562060508827,-0.4852103191357745,-0.07595860617286809,-0.8790464263386342,19249809,4,0.8688402770507391
49,-0.5320532792218288,0.11574533442208779,-0.8114185084617972,-0.4637475119829646,-0.1273944894504334,-0.9467125265878071,-0.4637239135144027,-0.14310096733554245,-0.9366941010640926,-0.4636649173430405,-0.09997913045504914,-0.9000534635160778,19249809,4,0.8688402770507391
50,-0.4852929137756986,0.10085839812745956,-0.8903922727478181,-0.4046333482472423,-0.12920249382858673,-0.9369569345316752,-0.40460974977868025,-0.17237850217283324,-0.9179341370839706,-0.40453895437299425,-0.13798204221032162,-0.8871426967677879,19249809,4,0.8688402770507391
51,-0.46377111045152664,0.11052271876849873,-0.8971011357738256,-0.34382009477531295,-0.05926040383961151,-0.8755397610095874,-0.343796496306751,-0.1325863841324001,-0.869083410337374,-0.34373750013538884,-0.1272507172869809,-0.8530814226423609,19249809,4,0.8688402770507391
52,-0.4046569467158043,0.19694869132820036,-0.8501052125509816,-0.22700767541715938,0.16457393264220088,-0.8699227286921802,-0.22698407694859735,0.01553572589392438,-0.898044231604195,-0.22692508077723528,-0.037241206249365444,-0.8853666254369736,19249809,4,0.8688402770507391
53,-0.343843693243875,0.3475668752480574,-0.688633918835386,-0.14440123623272383,0.31409641739865024,-0.8182220948808625,-0.1443776377641618,0.13090083602628777,-0.8549237151414568,-0.14430684235847602,0.051577594346299716,-0.8541901427429638,19249809,4,0.8688402770507391
54,-0.22703127388572142,0.6656611262135801,-0.537732583121934,-0.09685032208998112,0.35625083594388474,-0.7969093975388113,-0.09682672362141909,0.1868929639761474,-0.8175631480359165,-0.09679132591853312,0.11134110760973015,-0.8103001603021782,19249809,4,0.8688402770507391
55,-0.14442483470128575,0.8212301308604792,-0.4349785057151696,-0.03737038209150467,0.38834850298188517,-0.7293714523299077,-0.037346783622942525,0.24577004794540258,-0.7412971384964979,-0.03731138592014238,0.18340304646033911,-0.742310451007149,19249809,4,0.8688402770507391
56,-0.09687392055854305,0.8777380447751675,-0.3341401317892453,0.020103688079544657,0.41879913432411287,-0.6266640170482183,0.020127286548106582,0.28573079018713576,-0.6785062860478184,0.020186282719468762,0.24584257332761372,-0.6758275961121265,19249809,4,0.8688402770507391
57,-0.0373939805600666,0.9281925778181062,-0.13415085815313676,0.12739412537486006,0.4650839426696316,-0.5718932403408208,0.12741772384342198,0.3577683475260356,-0.6307740605711996,0.12745312154622224,0.34058422226927587,-0.5673294684917964,19249809,4,0.8688402770507391
58,0.22145762104387479,0.9990147115122046,0.8353479156055228,0.22149301874667504,0.4854535080360407,-0.4715320657696006,0.22151661721523697,0.4346777791925025,-0.36724669606583593,0.2215402156837989,0.411691169422183,-0.3044754971867387,19249809,4,0.8688402770507391
59,-0.6762258596629398,0.63578366785496,-0.035255269980176474,-0.5679540010083796,0.1287144460891545,-0.7674760024228029,-0.5558388182595079,0.03408231454401811,-0.7374170959207738,-0.6526024672487545,0.28834260353291774,-0.20465911889866906,13871754,4,0.5152344049467181
60,-0.6527238618655015,0.552806406615576,-0.23458776285638405,-0.5558630971828573,0.10723801718121062,-0.8015309316638621,-0.47106895740238597,-0.04575559521909145,-0.8399601854781299,-0.5678690247766125,0.16534628271743657,-0.5889465533063023,13871754,4,0.5152344049467181
61,-0.5679904193933596,0.269510555172515,-0.7425664536585735,-0.4710932363257354,-0.021426318570400227,-0.8099066375861772,-0.38634765439196295,-0.06678324853882067,-0.8742727822360631,-0.5557659814894598,0.14811370364662158,-0.6272979399845737,13871754,4,0.5152344049467181
62,-0.5558873761062066,0.23875524248654068,-0.7565610946019372,-0.3863719333153123,-0.04766374464367473,-0.8865427999220362,-0.33471852389995504,-0.033695691710181386,-0.8767296418559171,-0.47104467847903664,0.044263075911160854,-0.7828004711510964,13871754,4,0.5152344049467181
63,-0.47112965471071533,0.14263140890728088,-0.5639678943092548,-0.3347428028233045,-0.012282921144271541,-0.8935045752037651,-0.3245699339420305,-0.024900743780534973,-0.8752561756079724,-0.3862869570835453,-0.0017315233370654992,-0.8239235261309241,13871754,4,0.5152344049467181
64,-0.3864083517002922,0.22293302142457527,-0.787361449335041,-0.3245942128653799,-0.0007581189062029203,-0.8951029223401982,-0.31360800005194556,-0.015153579822043795,-0.8726170443860316,-0.33464568712990683,0.003951721779918982,-0.8362926484100126,13871754,4,0.5152344049467181
65,-0.3347670817466538,0.36167465459791504,-0.7069383225184988,-0.313632278975295,0.013845455164287701,-0.8938270288996494,-0.3014806778414435,-0.004247637203007026,-0.8682238479165854,-0.32454565501868116,0.008280254590092628,-0.8356516041075585,13871754,4,0.5152344049467181
66,-0.32463063125035974,0.3918014409437893,-0.683385751051936,-0.30150495676479283,0.03291186527886447,-0.8869859304010258,-0.2526314840724547,0.04096867461442022,-0.8384108082390683,-0.31353516328198583,0.014030431540406951,-0.8330874549178374,13871754,4,0.5152344049467181
67,-0.31365655789864444,0.4240407906608208,-0.6553094506071458,-0.25265576299580417,0.13443839590910467,-0.8220901228594661,-0.24068625378694053,0.052971717210240854,-0.8285648801521971,-0.30145639891809406,0.021342704793270384,-0.8278976094874364,13871754,4,0.5152344049467181
68,-0.30154137514977275,0.45854544246221485,-0.6213669681991754,-0.24071053271028986,0.16179168532319088,-0.8012185654542854,-0.15552793015631672,0.14536277473469617,-0.7452871530432322,-0.2525707867640371,0.058055596886371186,-0.7909415264200716,13871754,4,0.5152344049467181
69,-0.25268004191906523,0.5808681362484152,-0.45347551467364366,-0.15555220907966605,0.34463069949441083,-0.6320321387835206,-0.03299220403694958,0.26604946917152494,-0.6493525733084731,-0.24061341701689232,0.06822264224517749,-0.7806656889937704,13871754,4,0.5152344049467181
70,-0.2407348116336393,0.6066752169961662,-0.3978230712066896,-0.03301648296029902,0.5115159874312285,-0.48723634957205686,0.05225109582544141,0.3277304014739757,-0.6651030607939381,-0.1554915117713367,0.15103552125448316,-0.7122769310465076,13871754,4,0.5152344049467181
71,0.052202537978742525,0.7559602982515627,-0.15197667532078518,0.05222681690209163,0.5536961595917997,-0.5295915218360359,0.11144311093914938,0.36999475646235025,-0.630417382009353,-0.0329557856518814,0.28730795400533227,-0.6302045641260106,13871754,4,0.5152344049467181
72,0.1731115762340536,0.6396573725118477,-0.3206701306199444,0.11141883201580005,0.5576663173186849,-0.5326697321877552,0.17316013408075248,0.4244099586524799,-0.5298904989155204,0.05231179313377066,0.36059127648125444,-0.6102841086316507,13871754,4,0.5152344049467181
73,0.3431611553385465,0.6789878546841848,-0.04854702253308041,0.17313585515740315,0.561879885117307,-0.466053992088,0.3432097131852452,0.5937841315646726,-0.115396538541228,0.1115159477091976,0.39834714463229925,-0.5411112798253588,13871754,4,0.5152344049467181
74,0.40411339239477617,0.721273440356702,0.18799925439218623,0.3431854342618956,0.6402081898353738,0.1519725303201087,0.4041740897031054,0.6528776398934033,0.12967601841749832,0.1731965524657324,0.43504541362357907,-0.3444201416516405,13871754,4,0.5152344049467181
75,-0.8352643222198161,0.5059065676003771,0.6336883980217252,-0.9296460568547368,0.8114511928416139,0.5795015145223006,-0.8352103049157769,0.5481726008209864,0.24225962681465152,-0.9295920395505993,0.8491632398638436,0.8857576904448463,21494960,4,-0.7241915694188491
76,-0.5926185920839881,0.11072618447560933,-0.7819059224871476,-0.7408285702808562,0.4396010513023856,-0.25966657491189926,-0.5925645747798507,0.13913606784577603,-0.7607633128972856,-0.5925240618016985,0.11439115537936728,-0.7420266709190457,21494960,4,-0.7241915694188491
77,-0.5367106823130444,-0.25841235106776594,-0.7187422835272961,-0.5925915834319193,-0.016511843996893982,-0.8799487480789399,-0.5366431606829217,-0.2483897101499949,-0.7279939613169286,-0.4844354362447044,-0.43312685657686245,-0.9091369345076811,21494960,4,-0.7241915694188491
78,-0.4845434708529792,-0.4989077821846788,-0.8788479900430038,-0.48450295787492537,-0.5996925818631906,-0.9700143428680282,-0.48447594922285653,-0.5630830378563707,-0.9569997982725869,-0.34927063699437344,-0.4563338329969272,-0.9560661091849311,21494960,4,-0.7241915694188491
79,-0.34936516727656486,-0.40254442223359255,-0.8640430331277152,-0.34933815862449613,-0.6711238797514134,-0.973486520748225,-0.34931114997252566,-0.681291243953357,-0.9869520224961106,-0.2943350386978054,-0.4132798931783469,-0.9240639789214056,21494960,4,-0.7241915694188491
80,-0.2944295689799966,-0.24302112120902375,-0.8725116042584284,-0.29438905600194276,-0.584395375061332,-0.9713800610886834,-0.29436204734987403,-0.6366024565908994,-0.9656788441101913,-0.24056081243989713,-0.4318145774831428,-0.9381521873485376,21494960,4,-0.7241915694188491
81,-0.2406553427221868,-0.10991343024851008,-0.808273066904768,-0.2406283340701182,-0.5056897075750999,-0.9569639132685799,-0.24060132541804935,-0.5777568028097987,-0.968311882308256,-0.14674625949841946,-0.42477553203467766,-0.9359401517238229,21494960,4,-0.7241915694188491
82,-0.14684078978061088,0.04692741797611588,-0.7660180086498264,-0.14680027680245855,-0.35458606812781224,-0.949408458267333,-0.14677326815038994,-0.39845785355150143,-0.9499233927217097,-0.051662299909810416,-0.42133821870261934,-0.886861530679391,21494960,4,-0.7241915694188491
83,-0.051756830192001724,0.11943275294179068,-0.4131939792940442,-0.05171631721394776,-0.23359334920693164,-0.7717087745563427,-0.05168930856187903,-0.2652696624638521,-0.805197895927747,0.055764613671647645,-0.4214558041255676,-0.9217090973780062,21494960,4,-0.7241915694188491
84,0.05567008338935775,0.2095009533450063,-0.3794898847154786,0.05569709204142681,-0.12475113664262061,-0.8184881303943615,0.055724100693495204,-0.14818447168465188,-0.8277590655669527,0.15024087858875967,-0.431838268916265,-0.9310285405290364,21494960,4,-0.7241915694188491
85,0.15014634830647,0.2649667261053923,-0.45437262050608807,0.15017335695853884,-0.07773220230944333,-0.8184785898993611,0.15020036561060768,-0.08242496242619157,-0.808751393652553,0.21776250874679492,-0.40812246280529985,-0.9222165355772041,21494960,4,-0.7241915694188491
86,0.21766797846450547,0.21845380305106588,-0.44891720443470107,0.2176949871165741,-0.020069062928284143,-0.7678986250392688,0.21772199576864293,-0.06120968432034668,-0.7621914296990815,0.31219826068575496,-0.3648886593312126,-0.8922331503160444,21494960,4,-0.7241915694188491
87,-0.586809702826075,-0.17213215160230166,-0.38790951437604915,-0.5867841484656133,-0.2163158584249113,-0.7073527249421931,-0.8031018097299056,0.7195049223522474,0.7155541474109159,-0.7398164360593615,0.47207209773371783,0.2651497574461772,25025598,4,-0.096831302725503
88,-0.497573876112012,-0.5986542985454772,-0.9215418680637569,-0.4975355445712729,-0.6903088236584216,-0.9784152255000695,-0.5867585941051516,-0.24277234769705314,-0.8175801257124398,-0.5866819310238595,-0.1838824102850969,-0.795121215060171,25025598,4,-0.096831302725503
89,-0.40808250579333194,-0.6264814131136636,-0.9172406653473464,-0.40805695143287024,-0.8075349602773614,-0.9894059805900703,-0.4975099902108113,-0.7068107729164517,-0.977019197624278,-0.4974461043097035,-0.5534029166689597,-0.942553165115959,25025598,4,-0.096831302725503
90,-0.343327756396565,-0.4811452885143269,-0.9230346500641238,-0.3433022020361033,-0.764492782093497,-0.9951316887381615,-0.40803139707240854,-0.8732195927429316,-0.9963673086883877,-0.4079930655317624,-0.6174011289665351,-0.9675313786341722,25025598,4,-0.096831302725503
91,-0.267444083021002,-0.23159270517117592,-0.8299436251864687,-0.2674185286605403,-0.6352646275411821,-0.9642787515307283,-0.3432766476756416,-0.8659620147061023,-0.9937184047206902,-0.34323831613499556,-0.6189223648195429,-0.9671853814796095,25025598,4,-0.096831302725503
92,-0.14001726460458597,0.027771495437577398,-0.5890383319671135,-0.13999171024412427,-0.3924756049116547,-0.8704182727973767,-0.2673801971198012,-0.7916173751173543,-0.9808229398718007,-0.2673546427593395,-0.5634571998091369,-0.9405680955346548,25025598,4,-0.096831302725503
93,-0.07524973802763468,0.13448694629327762,-0.679337275798967,-0.0752241836671731,-0.3171805714907687,-0.9241946224467347,-0.13996615588366268,-0.5793967324965766,-0.9348414126586112,-0.13990226998255484,-0.5192085780324618,-0.9348634169876283,25025598,4,-0.096831302725503
94,-0.012334902583738927,0.14492849835729715,-0.6386778965732949,-0.012309348223277228,-0.2507386959399711,-0.8470586099998019,-0.0751986293067114,-0.43507885242555144,-0.9249442119506524,-0.07516029776597222,-0.5069055306440313,-0.9398631823199711,25025598,4,-0.096831302725503
95,0.07729701671743405,0.16090150056899177,-0.7750323764710436,0.07733534825817312,-0.18653423140861047,-0.9264688815227428,-0.01228379386281564,-0.34327386727968323,-0.8811745267274882,-0.012219907961614762,-0.5200134925062412,-0.9400436664266555,25025598,4,-0.096831302725503
96,0.1284951778921002,0.1961521109793236,-0.6068396250588046,0.1285207322525619,-0.15432054346463653,-0.8720662921841682,0.07736090261863482,-0.23731602918487082,-0.9244833145374842,0.07738645697909652,-0.4959163134544313,-0.9674632519817076,25025598,4,-0.096831302725503
97,0.24396255561476088,0.2501373333564314,-0.3811456475050773,0.24400088715549995,-0.08220002077733524,-0.7789997509988548,0.12855906379320814,-0.207749263112598,-0.8942433255122094,0.12858461815366984,-0.4918788556325012,-0.9558687722004927,25025598,4,-0.096831302725503
98,0.3328406212824533,0.2942160003231271,-0.6138070094463478,0.33287895282319213,-0.010491850630941046,-0.8345322943541172,0.24402644151596187,-0.12469696579633782,-0.8088046935899029,0.24405199587642357,-0.4434659629112617,-0.9376663216699773,25025598,4,-0.096831302725503
99,0.4222553285197481,0.3297107822977998,-0.407634431552927,0.4222808828802098,0.00621205989740603,-0.7573516176816609,0.33290450718365383,-0.0607509254969929,-0.8102950824234665,0.3329683930847618,-0.3818894176230072,-0.9121343457195543,25025598,4,-0.096831302725503
100,-0.5596517934129231,-0.3308899194322539,-0.7938687371160139,-0.6535181696931027,0.1704706687688704,-0.235689962401338,-0.6534911032639508,0.0601942192523246,-0.2756731696556258,-0.5595570609108417,-0.4788602525981105,-0.875039983847484,13554190,4,-0.7477233710823155
101,-0.5159124439120392,-0.5538226306533476,-0.9545146224620357,-0.5596111937691458,-0.4225264754031741,-0.8917649925648785,-0.5595841273399937,-0.40455434164633,-0.8645501995722996,-0.5157771117662788,-0.528393556026237,-0.9531701686145546,13554190,4,-0.7477233710823155
102,-0.42149120583429134,-0.7014596311467258,-0.832333229384884,-0.5158853774828871,-0.645737758616175,-0.9923494006767761,-0.515858311053735,-0.5994077682967387,-0.9736055414780698,-0.421355873688531,-0.5895534454404976,-0.9571593041100985,13554190,4,-0.7477233710823155
103,-0.3269075691816311,-0.4862064322195706,-0.9132224486486908,-0.4214506061906125,-0.8319869023288532,-0.927575753024302,-0.4214235397614604,-0.8143318235612833,-0.9782258837433224,-0.326812836679648,-0.5945392915897045,-0.9717586690970622,13554190,4,-0.7477233710823155
